name;type;episodes;rating
Kimi no Na wa.;Movie;1;937
Fullmetal Alchemist: Brotherhood;TV;64;926
Gintama�;TV;51;925
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;TV;10;915
Hunter x Hunter (2011);TV;148;913
Ginga Eiyuu Densetsu;OVA;110;911
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare;Movie;1;910
Clannad: After Story;TV;24;906
Koe no Katachi;Movie;1;905
Gintama;TV;201;904
Code Geass: Hangyaku no Lelouch R2;TV;25;898
Haikyuu!! Second Season;TV;25;893
Sen to Chihiro no Kamikakushi;Movie;1;893
Shigatsu wa Kimi no Uso;TV;22;892
Mushishi Zoku Shou 2nd Season;TV;10;888
Ookami Kodomo no Ame to Yuki;Movie;1;884
Code Geass: Hangyaku no Lelouch;TV;25;883
Hajime no Ippo;TV;75;883
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;OVA;4;883
Cowboy Bebop;TV;26;882
One Punch Man;TV;12;882
Mononoke Hime;Movie;1;881
Suzumiya Haruhi no Shoushitsu;Movie;1;881
Monogatari Series: Second Season;TV;26;880
Mushishi Zoku Shou;TV;10;880
Mushishi;TV;26;878
Tengen Toppa Gurren Lagann;TV;27;878
Great Teacher Onizuka;TV;43;877
Natsume Yuujinchou Go;TV;13;876
Hajime no Ippo: New Challenger;TV;26;875
Mushishi Zoku Shou: Suzu no Shizuku;Movie;1;875
Natsume Yuujinchou Shi;TV;13;875
Howl no Ugoku Shiro;Movie;1;874
Fate/Zero 2nd Season;TV;12;873
Kizumonogatari II: Nekketsu-hen;Movie;1;873
Monster;TV;74;872
Bakuman. 3rd Season;TV;25;871
Death Note;TV;37;871
Gintama�: Aizome Kaori-hen;OVA;2;869
Ansatsu Kyoushitsu (TV) 2nd Season;TV;25;868
Haikyuu!!;TV;25;868
Hajime no Ippo: Rising;TV;25;868
Kara no Kyoukai 5: Mujun Rasen;Movie;1;868
Natsume Yuujinchou San;TV;13;867
Ping Pong The Animation;TV;11;867
Mushishi Special: Hihamukage;Special;1;866
Boku dake ga Inai Machi;TV;12;865
Yojouhan Shinwa Taikei;TV;11;865
Aria The Origination;TV;13;864
